st	accession	sp	gn
Puniceibacterium_sediminis	GCF_900188035.1	Puniceibacterium sediminis	Puniceibacterium
Pusillimonas_noertemannii_BS8	GCF_000308195.1	Pusillimonas noertemannii	Pusillimonas
Pustulibacterium_marinum	GCF_900116665.1	Pustulibacterium marinum	Pustulibacterium
Pygmaiobacter_massiliensis	GCF_900199435.1	Pygmaiobacter massiliensis	Pygmaiobacter
Pyramidobacter_piscolens_W5455	GCF_000177335.1	Pyramidobacter piscolens	Pyramidobacter
Pyrinomonas_methylaliphatogenes	GCF_000820845.2	Pyrinomonas methylaliphatogenes	Pyrinomonas
Quadrisphaera_sp._DSM_44207	GCF_900101335.1	Quadrisphaera sp.	Quadrisphaera
Quasibacillus_thermotolerans	GCF_000812025.2	Quasibacillus thermotolerans	Quasibacillus
Rahnella_aquatilis_HX2	GCF_000255535.1	Rahnella aquatilis	Rahnella
Raineya_orbicola	GCF_002843425.1	Raineya orbicola	Raineya
Raineyella_antarctica	GCF_900092135.1	Raineyella antarctica	Raineyella
Ralstonia_solanacearum_GMI1000	GCF_000009125.1	Ralstonia solanacearum	Ralstonia
Ramlibacter_tataouinensis	GCF_001580455.1	Ramlibacter tataouinensis	Ramlibacter
Raoultella_terrigena	GCF_900631595.1	Raoultella terrigena	Raoultella
Raoultibacter_timonensis	GCF_900240215.1	Raoultibacter timonensis	Raoultibacter
Raphidiopsis_brookii_D9	GCF_000175855.1	Raphidiopsis brookii	Raphidiopsis
Rappaport_israeli	GCF_001888055.1	Rappaport israeli	Rappaport
Rathayibacter_tritici	GCF_001641005.1	Rathayibacter tritici	Rathayibacter
Reichenbachiella_faecimaris	GCF_900176375.1	Reichenbachiella faecimaris	Reichenbachiella
Reinekea_blandensis_MED297	GCF_000153185.1	Reinekea blandensis	Reinekea
Renibacterium_salmoninarum_ATCC_33209	GCF_000018885.1	Renibacterium salmoninarum	Renibacterium
Reyranella_massiliensis_521	GCF_000312425.1	Reyranella massiliensis	Reyranella
Rheinheimera_perlucida_DSM_18276	GCF_000382165.1	Rheinheimera perlucida	Rheinheimera
Rhizobacter_gummiphilus	GCF_002116905.1	Rhizobacter gummiphilus	Rhizobacter
Rhizobiaceae_bacterium_CPCC_101076	GCF_003347645.1	Rhizobiaceae bacterium	Rhizobiaceae
Rhizobiales_bacterium	GCF_900467845.1	Rhizobiales bacterium	Rhizobiales
Rhizobium_oryzae	GCF_900109605.1	Rhizobium oryzae	Rhizobium
Rhizorhabdus_dicambivorans	GCF_002355275.1	Rhizorhabdus dicambivorans	Rhizorhabdus
Rhodanobacter_fulvus_Jip2	GCF_000264315.1	Rhodanobacter fulvus	Rhodanobacter
Rhodanobacteraceae_bacterium_Dysh456	GCF_003967035.1	Rhodanobacteraceae bacterium	Rhodanobacteraceae
Rhodobaca_barguzinensis	GCF_001870665.2	Rhodobaca barguzinensis	Rhodobaca
Rhodobacter_sphaeroides_2.4.1	GCF_000012905.2	Rhodobacter sphaeroides	Rhodobacter
Rhodobacteraceae_bacterium_LMIT002	GCF_003254465.1	Rhodobacteraceae bacterium	Rhodobacteraceae
Rhodobacterales_bacterium_HTCC2255	GCF_000153745.1	Rhodobacterales bacterium	Rhodobacterales
Rhodobiaceae_bacterium	GCF_003330885.1	Rhodobiaceae bacterium	Rhodobiaceae
Rhodobium_orientis	GCF_003258835.1	Rhodobium orientis	Rhodobium
Rhodoblastus_acidophilus	GCF_900187365.1	Rhodoblastus acidophilus	Rhodoblastus
Rhodococcus_coprophilus_NBRC_100603	GCF_001895045.1	Rhodococcus coprophilus	Rhodococcus
Rhodocyclaceae_bacterium	GCF_002863805.1	Rhodocyclaceae bacterium	Rhodocyclaceae
Rhodoferax_ferrireducens_T118	GCF_000013605.1	Rhodoferax ferrireducens	Rhodoferax
Rhodohalobacter_halophilus	GCF_001715195.1	Rhodohalobacter halophilus	Rhodohalobacter
Rhodoluna_lacicola	GCF_000699505.1	Rhodoluna lacicola	Rhodoluna
Rhodomicrobium_vannielii_ATCC_17100	GCF_000166055.1	Rhodomicrobium vannielii	Rhodomicrobium
